ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1546,Kerala,Kochi,Locality_94,Villa,1,2136,94.05,0.04,2014,Unfurnished,24,27,11,6,8,High,No,No,"Playground, Garden, Clubhouse",West,Builder,Ready_to_Move
1547,Bihar,Gaya,Locality_483,Independent House,2,2742,86.15,0.03,1997,Furnished,22,2,28,5,9,Low,Yes,Yes,"Garden, Pool, Playground, Gym, Clubhouse",West,Broker,Ready_to_Move
1548,Bihar,Patna,Locality_468,Apartment,5,3938,420.6,0.11,1999,Unfurnished,29,23,26,3,3,High,Yes,Yes,"Gym, Clubhouse, Pool, Playground, Garden",South,Builder,Ready_to_Move
1549,Karnataka,Mangalore,Locality_21,Apartment,5,4654,191.94,0.04,1991,Semi-furnished,21,6,34,5,5,Low,Yes,Yes,"Pool, Playground, Garden",North,Owner,Under_Construction
1550,Karnataka,Mangalore,Locality_36,Independent House,5,2510,146.23,0.06,1999,Unfurnished,28,3,26,6,5,High,No,No,"Garden, Pool, Gym, Clubhouse",West,Builder,Ready_to_Move
1551,Madhya Pradesh,Bhopal,Locality_53,Independent House,3,1274,409.02,0.32,2006,Semi-furnished,26,22,19,1,3,High,No,Yes,Playground,North,Owner,Ready_to_Move
1552,Kerala,Trivandrum,Locality_447,Independent House,1,2863,372.02,0.13,1995,Unfurnished,4,1,30,1,3,High,No,Yes,Gym,South,Builder,Under_Construction
1553,Delhi,Dwarka,Locality_64,Villa,2,2265,426.58,0.19,2009,Semi-furnished,21,10,16,7,10,Low,No,Yes,"Gym, Playground, Garden, Pool, Clubhouse",East,Builder,Ready_to_Move
1554,Delhi,New Delhi,Locality_162,Villa,3,525,390.28,0.74,1995,Semi-furnished,17,7,30,6,9,High,Yes,No,Playground,South,Builder,Ready_to_Move
1555,Uttarakhand,Dehradun,Locality_249,Villa,1,3130,23.96,0.01,2004,Unfurnished,2,9,21,4,10,Low,No,Yes,"Garden, Gym, Playground",East,Owner,Ready_to_Move
1556,Uttarakhand,Haridwar,Locality_154,Independent House,2,509,33.35,0.07,2017,Semi-furnished,15,22,8,6,8,Medium,Yes,No,Playground,South,Owner,Under_Construction
1557,Assam,Silchar,Locality_479,Villa,1,2458,140.93,0.06,2011,Unfurnished,26,16,14,10,10,Medium,Yes,Yes,"Gym, Playground",West,Owner,Under_Construction
1558,Andhra Pradesh,Vijayawada,Locality_336,Villa,2,3647,170.32,0.05,1997,Semi-furnished,29,21,28,10,1,Medium,Yes,No,"Pool, Gym, Playground",West,Owner,Under_Construction
1559,Bihar,Patna,Locality_140,Apartment,5,3924,111.53,0.03,1999,Furnished,22,7,26,4,3,High,Yes,Yes,"Garden, Playground",North,Broker,Under_Construction
1560,Jharkhand,Ranchi,Locality_186,Apartment,5,2110,447.79,0.21,2023,Unfurnished,4,23,2,2,2,Medium,Yes,Yes,"Gym, Clubhouse",North,Broker,Under_Construction
1561,Chhattisgarh,Raipur,Locality_446,Apartment,5,1852,46.95,0.03,2018,Semi-furnished,0,8,7,7,3,Low,Yes,No,Garden,South,Broker,Ready_to_Move
1562,Karnataka,Mysore,Locality_289,Apartment,3,4261,396.89,0.09,2015,Furnished,16,6,10,6,5,High,No,No,"Pool, Garden",North,Owner,Ready_to_Move
1563,Bihar,Gaya,Locality_285,Independent House,2,1779,65.68,0.04,2012,Unfurnished,15,16,13,8,1,Medium,Yes,Yes,"Pool, Garden, Playground, Clubhouse",East,Broker,Under_Construction
1564,Jharkhand,Ranchi,Locality_270,Apartment,3,2612,452.01,0.17,1995,Furnished,20,7,30,5,7,High,Yes,No,"Playground, Pool, Clubhouse",North,Broker,Under_Construction
1565,Uttar Pradesh,Lucknow,Locality_3,Apartment,1,4973,352.32,0.07,2023,Semi-furnished,5,21,2,6,6,Low,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",North,Owner,Ready_to_Move
1566,Haryana,Gurgaon,Locality_416,Independent House,4,2258,122.26,0.05,1999,Furnished,12,28,26,2,7,Low,No,No,"Garden, Gym, Playground, Clubhouse, Pool",East,Broker,Under_Construction
1567,Uttarakhand,Haridwar,Locality_229,Villa,5,2147,81.37,0.04,1998,Furnished,11,3,27,9,9,Low,Yes,No,"Playground, Garden, Pool, Clubhouse",North,Owner,Ready_to_Move
1568,Odisha,Bhubaneswar,Locality_403,Apartment,4,2913,104.87,0.04,2015,Semi-furnished,24,3,10,2,9,Medium,No,Yes,"Gym, Pool, Playground, Garden, Clubhouse",West,Owner,Under_Construction
1569,Assam,Guwahati,Locality_288,Villa,5,4353,476.71,0.11,2012,Semi-furnished,6,18,13,9,3,High,No,No,"Pool, Gym, Garden",West,Builder,Under_Construction
1570,West Bengal,Kolkata,Locality_309,Independent House,5,1693,447.47,0.26,2003,Furnished,5,10,22,4,3,High,Yes,Yes,"Garden, Gym, Clubhouse, Playground, Pool",West,Broker,Ready_to_Move
1571,Karnataka,Mangalore,Locality_54,Apartment,2,4131,414.47,0.1,2016,Unfurnished,14,6,9,10,9,Low,No,Yes,"Playground, Gym, Garden, Pool",South,Broker,Ready_to_Move
1572,Bihar,Patna,Locality_10,Independent House,5,1595,397.02,0.25,2008,Unfurnished,26,16,17,4,1,Medium,Yes,Yes,"Pool, Clubhouse, Gym",North,Owner,Under_Construction
1573,Tamil Nadu,Chennai,Locality_439,Apartment,3,2475,110.75,0.04,2010,Furnished,22,20,15,9,5,High,No,No,"Playground, Gym, Clubhouse, Pool",East,Builder,Under_Construction
1574,Haryana,Gurgaon,Locality_221,Independent House,5,3501,16.57,0.0,2002,Furnished,13,25,23,2,9,Medium,No,No,"Gym, Garden",South,Owner,Under_Construction
1575,Delhi,New Delhi,Locality_495,Villa,1,876,203.34,0.23,2004,Semi-furnished,17,21,21,9,10,High,Yes,No,"Pool, Gym, Garden, Playground",South,Owner,Ready_to_Move
1576,Assam,Guwahati,Locality_377,Independent House,5,2923,496.14,0.17,1990,Semi-furnished,28,2,35,7,3,High,No,Yes,"Playground, Gym",West,Owner,Under_Construction
1577,Gujarat,Ahmedabad,Locality_90,Independent House,5,4817,368.67,0.08,2022,Furnished,23,19,3,6,6,Medium,Yes,Yes,"Pool, Playground, Gym, Garden",East,Builder,Under_Construction
1578,Karnataka,Mangalore,Locality_63,Independent House,2,4898,143.31,0.03,2023,Semi-furnished,2,13,2,2,1,Medium,Yes,Yes,Garden,West,Builder,Ready_to_Move
1579,Rajasthan,Jaipur,Locality_275,Apartment,3,2682,390.63,0.15,2010,Furnished,20,8,15,3,3,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Playground, Garden",East,Owner,Ready_to_Move
1580,Bihar,Patna,Locality_243,Apartment,3,3950,473.76,0.12,2004,Semi-furnished,11,12,21,10,7,Low,No,No,"Garden, Playground, Pool, Gym",South,Owner,Ready_to_Move
1581,Bihar,Patna,Locality_275,Independent House,1,3451,231.5,0.07,1999,Furnished,10,13,26,4,5,Low,No,No,"Gym, Clubhouse, Garden",East,Builder,Under_Construction
1582,Assam,Guwahati,Locality_419,Villa,2,4874,65.56,0.01,1991,Unfurnished,15,23,34,4,5,High,Yes,No,"Clubhouse, Playground, Pool, Garden",East,Owner,Under_Construction
1583,Assam,Guwahati,Locality_174,Independent House,3,2403,386.82,0.16,2007,Semi-furnished,7,10,18,1,10,Low,No,No,"Gym, Clubhouse",South,Broker,Under_Construction
1584,Uttarakhand,Dehradun,Locality_103,Independent House,4,2260,486.09,0.22,1999,Furnished,9,17,26,4,9,High,Yes,No,"Clubhouse, Gym, Garden",North,Owner,Under_Construction
1585,Gujarat,Surat,Locality_359,Independent House,4,4490,297.16,0.07,2020,Unfurnished,5,5,5,1,3,Low,Yes,No,"Gym, Clubhouse",East,Broker,Under_Construction
1586,Madhya Pradesh,Bhopal,Locality_475,Independent House,3,2691,36.46,0.01,1992,Semi-furnished,30,28,33,3,2,Low,Yes,Yes,"Gym, Clubhouse, Playground",South,Broker,Ready_to_Move
1587,Madhya Pradesh,Bhopal,Locality_182,Independent House,2,2367,265.45,0.11,2016,Semi-furnished,9,24,9,10,1,Low,No,Yes,"Garden, Playground, Gym, Clubhouse, Pool",South,Broker,Ready_to_Move
1588,Kerala,Trivandrum,Locality_47,Villa,2,1727,192.84,0.11,2006,Semi-furnished,20,10,19,3,7,High,No,No,"Playground, Garden, Gym, Clubhouse, Pool",East,Builder,Under_Construction
1589,Andhra Pradesh,Vishakhapatnam,Locality_317,Villa,1,3775,261.27,0.07,2012,Furnished,12,11,13,6,7,High,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",West,Owner,Under_Construction
1590,Telangana,Hyderabad,Locality_314,Villa,4,2212,488.31,0.22,2022,Furnished,7,15,3,6,3,Medium,No,Yes,Clubhouse,South,Owner,Ready_to_Move
1591,Haryana,Faridabad,Locality_336,Independent House,2,3070,24.22,0.01,2009,Furnished,26,8,16,7,2,Low,No,Yes,"Playground, Pool, Clubhouse",West,Owner,Under_Construction
1592,Uttarakhand,Haridwar,Locality_408,Villa,5,1049,405.19,0.39,2016,Semi-furnished,2,25,9,1,1,Medium,No,Yes,"Playground, Pool",West,Broker,Under_Construction
1593,Karnataka,Mangalore,Locality_75,Villa,1,2144,483.72,0.23,2004,Semi-furnished,27,12,21,5,1,High,No,No,"Playground, Pool, Garden",East,Broker,Ready_to_Move
1594,Haryana,Gurgaon,Locality_213,Independent House,4,4294,401.54,0.09,2004,Furnished,13,28,21,1,1,Low,Yes,No,"Gym, Pool",East,Owner,Ready_to_Move
1595,Delhi,New Delhi,Locality_77,Independent House,5,2373,263.64,0.11,1995,Furnished,9,7,30,3,5,Medium,Yes,Yes,"Pool, Playground, Gym",South,Broker,Ready_to_Move
1596,Haryana,Gurgaon,Locality_17,Independent House,1,2150,480.62,0.22,2011,Furnished,23,13,14,6,6,Low,No,Yes,"Garden, Pool, Playground, Clubhouse",East,Broker,Under_Construction
1597,Tamil Nadu,Coimbatore,Locality_61,Villa,2,2259,220.93,0.1,2004,Unfurnished,5,29,21,2,4,Low,Yes,Yes,"Gym, Pool, Garden, Clubhouse, Playground",North,Owner,Under_Construction
1598,Chhattisgarh,Bilaspur,Locality_451,Independent House,4,4458,188.79,0.04,1994,Unfurnished,4,20,31,9,5,High,Yes,Yes,Playground,South,Builder,Under_Construction
1599,Andhra Pradesh,Vishakhapatnam,Locality_500,Villa,3,3638,80.42,0.02,2019,Furnished,28,28,6,2,3,Low,No,No,"Pool, Garden, Clubhouse, Playground",East,Owner,Under_Construction
1600,Kerala,Kochi,Locality_331,Apartment,2,1412,40.34,0.03,1995,Furnished,27,26,30,5,4,Medium,No,No,Pool,North,Broker,Ready_to_Move
1601,Punjab,Ludhiana,Locality_26,Independent House,2,725,172.41,0.24,2006,Furnished,10,27,19,1,7,Low,No,Yes,"Gym, Clubhouse, Garden, Playground",West,Broker,Ready_to_Move
1602,Uttarakhand,Haridwar,Locality_123,Independent House,4,4598,348.39,0.08,2004,Furnished,18,21,21,3,8,High,No,No,"Playground, Garden, Gym, Clubhouse, Pool",South,Broker,Under_Construction
1603,West Bengal,Durgapur,Locality_435,Independent House,1,511,37.3,0.07,1992,Unfurnished,11,27,33,10,4,Medium,No,No,"Garden, Gym, Playground, Pool, Clubhouse",North,Broker,Ready_to_Move
1604,Haryana,Faridabad,Locality_41,Independent House,2,1861,193.58,0.1,2021,Unfurnished,5,3,4,3,6,Low,Yes,Yes,"Gym, Pool, Garden",North,Broker,Ready_to_Move
1605,Delhi,Dwarka,Locality_472,Villa,4,850,167.77,0.2,2016,Furnished,21,17,9,2,1,Medium,Yes,No,"Playground, Garden, Gym",West,Builder,Ready_to_Move
1606,Jharkhand,Ranchi,Locality_497,Apartment,4,692,387.68,0.56,2019,Semi-furnished,25,6,6,2,9,High,No,Yes,"Pool, Clubhouse",North,Builder,Ready_to_Move
1607,West Bengal,Durgapur,Locality_89,Apartment,3,2873,67.11,0.02,2021,Semi-furnished,6,16,4,2,6,Medium,No,Yes,"Gym, Clubhouse, Playground",East,Broker,Ready_to_Move
1608,Madhya Pradesh,Bhopal,Locality_39,Villa,4,3056,151.34,0.05,1999,Furnished,1,5,26,1,3,High,No,No,"Playground, Garden",East,Broker,Under_Construction
1609,Kerala,Kochi,Locality_383,Independent House,2,3173,353.67,0.11,2013,Semi-furnished,6,18,12,3,1,Low,Yes,No,"Clubhouse, Gym, Pool",South,Owner,Under_Construction
1610,Andhra Pradesh,Vijayawada,Locality_333,Villa,4,2838,310.76,0.11,2011,Semi-furnished,12,16,14,2,10,Low,Yes,Yes,"Pool, Playground, Gym, Clubhouse, Garden",West,Broker,Under_Construction
1611,West Bengal,Durgapur,Locality_333,Apartment,1,633,186.3,0.29,2002,Semi-furnished,18,1,23,1,9,High,No,Yes,"Garden, Gym, Pool",West,Owner,Ready_to_Move
1612,Uttarakhand,Dehradun,Locality_403,Independent House,3,3340,364.6,0.11,2013,Semi-furnished,10,8,12,5,2,High,Yes,No,"Clubhouse, Garden",West,Owner,Under_Construction
1613,Delhi,Dwarka,Locality_365,Villa,1,3922,134.96,0.03,2002,Furnished,6,8,23,2,3,Low,Yes,Yes,"Clubhouse, Gym, Pool, Playground",East,Owner,Ready_to_Move
1614,Kerala,Trivandrum,Locality_481,Apartment,3,502,97.21,0.19,2011,Furnished,15,2,14,4,9,Low,No,No,Garden,North,Owner,Under_Construction
1615,Chhattisgarh,Raipur,Locality_365,Villa,3,1096,236.9,0.22,1996,Semi-furnished,24,2,29,9,8,Medium,Yes,No,"Playground, Pool",South,Broker,Ready_to_Move
1616,Andhra Pradesh,Vijayawada,Locality_396,Villa,4,938,345.54,0.37,1993,Furnished,21,26,32,8,4,Medium,No,Yes,"Playground, Garden, Gym",East,Builder,Ready_to_Move
1617,Haryana,Faridabad,Locality_471,Villa,3,3646,361.65,0.1,1998,Furnished,24,12,27,7,3,Medium,No,Yes,"Gym, Playground, Pool",East,Builder,Under_Construction
1618,West Bengal,Durgapur,Locality_82,Villa,4,3787,130.03,0.03,2022,Semi-furnished,13,26,3,9,4,High,Yes,No,"Pool, Gym",South,Owner,Under_Construction
1619,Assam,Guwahati,Locality_378,Apartment,2,4510,79.77,0.02,2007,Semi-furnished,7,2,18,8,3,Medium,Yes,Yes,"Garden, Clubhouse, Playground",South,Owner,Ready_to_Move
1620,Delhi,New Delhi,Locality_1,Apartment,4,4823,362.8,0.08,1991,Semi-furnished,15,7,34,3,2,Medium,No,Yes,"Playground, Pool, Garden",East,Broker,Ready_to_Move
1621,Telangana,Hyderabad,Locality_452,Villa,4,2334,91.47,0.04,2014,Semi-furnished,2,17,11,3,1,High,Yes,Yes,"Gym, Pool, Garden, Playground",West,Builder,Ready_to_Move
1622,Assam,Guwahati,Locality_290,Apartment,1,4762,230.55,0.05,1991,Unfurnished,5,17,34,8,5,Low,Yes,No,"Gym, Playground",North,Builder,Ready_to_Move
1623,Madhya Pradesh,Indore,Locality_389,Independent House,1,678,193.01,0.28,2008,Semi-furnished,23,20,17,10,4,Medium,No,Yes,"Gym, Playground, Pool, Garden",South,Broker,Under_Construction
1624,Maharashtra,Pune,Locality_198,Apartment,5,3787,406.96,0.11,2020,Semi-furnished,3,16,5,1,7,Low,Yes,Yes,"Garden, Pool",South,Owner,Under_Construction
1625,Madhya Pradesh,Indore,Locality_117,Apartment,5,1041,247.24,0.24,2022,Unfurnished,22,11,3,5,5,Low,Yes,Yes,"Clubhouse, Garden",South,Owner,Under_Construction
1626,Kerala,Trivandrum,Locality_458,Independent House,1,3905,116.57,0.03,1998,Furnished,13,8,27,6,1,Low,No,Yes,Pool,South,Owner,Under_Construction
1627,Gujarat,Ahmedabad,Locality_185,Villa,1,1940,410.3,0.21,1996,Furnished,3,13,29,10,7,Low,No,No,"Garden, Pool, Clubhouse, Playground, Gym",West,Broker,Ready_to_Move
1628,Uttar Pradesh,Lucknow,Locality_422,Independent House,3,3668,484.06,0.13,1999,Furnished,0,21,26,4,5,Low,Yes,No,"Garden, Playground",South,Broker,Under_Construction
1629,Haryana,Gurgaon,Locality_325,Apartment,5,4705,137.6,0.03,1997,Furnished,5,28,28,8,6,Medium,No,No,"Pool, Playground, Clubhouse",East,Broker,Under_Construction
1630,Odisha,Bhubaneswar,Locality_498,Villa,1,4765,101.01,0.02,2009,Semi-furnished,16,17,16,10,5,High,Yes,Yes,"Garden, Clubhouse, Playground, Pool",West,Builder,Ready_to_Move
1631,Uttar Pradesh,Noida,Locality_177,Apartment,2,745,183.77,0.25,2021,Semi-furnished,11,13,4,4,2,High,Yes,Yes,Playground,North,Broker,Ready_to_Move
1632,Rajasthan,Jaipur,Locality_158,Independent House,2,711,172.08,0.24,1992,Furnished,11,11,33,6,9,Low,No,Yes,"Clubhouse, Gym, Playground, Pool",North,Builder,Under_Construction
1633,West Bengal,Kolkata,Locality_241,Apartment,3,1418,445.68,0.31,2014,Unfurnished,9,20,11,5,4,Low,Yes,Yes,"Pool, Garden, Gym",South,Builder,Ready_to_Move
1634,West Bengal,Durgapur,Locality_166,Apartment,3,4386,83.51,0.02,2018,Unfurnished,12,29,7,3,3,High,No,No,"Gym, Clubhouse, Playground",West,Broker,Under_Construction
1635,Delhi,Dwarka,Locality_67,Apartment,2,817,343.53,0.42,2021,Furnished,22,7,4,7,6,Medium,Yes,No,"Clubhouse, Playground, Garden, Gym",West,Owner,Ready_to_Move
1636,Kerala,Kochi,Locality_120,Apartment,2,4678,482.38,0.1,2003,Semi-furnished,9,26,22,10,1,Low,No,No,"Pool, Gym, Garden, Clubhouse",North,Broker,Ready_to_Move
1637,Tamil Nadu,Chennai,Locality_481,Apartment,4,3303,48.76,0.01,1996,Furnished,1,4,29,3,8,Medium,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",South,Builder,Ready_to_Move
1638,Assam,Silchar,Locality_456,Villa,2,4582,371.24,0.08,2002,Unfurnished,12,27,23,5,10,Low,No,No,Pool,East,Builder,Under_Construction
1639,Chhattisgarh,Raipur,Locality_49,Independent House,3,3146,53.27,0.02,2017,Unfurnished,11,5,8,10,5,Low,No,No,Clubhouse,West,Builder,Under_Construction
1640,Assam,Silchar,Locality_240,Apartment,4,3606,171.41,0.05,2019,Unfurnished,29,8,6,10,9,Low,No,No,"Clubhouse, Playground, Pool, Gym, Garden",South,Builder,Under_Construction
1641,Karnataka,Mysore,Locality_467,Apartment,3,1165,463.73,0.4,2000,Unfurnished,22,2,25,3,7,Medium,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",West,Builder,Ready_to_Move
1642,Haryana,Faridabad,Locality_51,Villa,4,504,285.85,0.57,2019,Semi-furnished,20,10,6,6,5,High,Yes,No,Playground,West,Broker,Ready_to_Move
1643,Uttarakhand,Haridwar,Locality_454,Villa,2,1230,299.18,0.24,2006,Semi-furnished,8,5,19,10,2,High,Yes,Yes,"Gym, Clubhouse, Pool, Playground",West,Builder,Under_Construction
1644,West Bengal,Durgapur,Locality_162,Independent House,1,3035,202.06,0.07,2013,Unfurnished,28,12,12,5,7,Medium,Yes,No,"Playground, Clubhouse",East,Broker,Under_Construction
1645,Uttarakhand,Haridwar,Locality_85,Independent House,4,2521,177.59,0.07,2023,Unfurnished,7,19,2,8,1,Low,Yes,No,"Garden, Pool, Clubhouse",South,Broker,Under_Construction
1646,Andhra Pradesh,Vijayawada,Locality_150,Apartment,4,3535,56.06,0.02,2005,Unfurnished,2,1,20,3,3,Medium,Yes,Yes,Gym,North,Owner,Under_Construction
1647,West Bengal,Durgapur,Locality_107,Independent House,4,1460,212.58,0.15,1992,Unfurnished,6,13,33,7,5,Medium,No,Yes,"Clubhouse, Playground",North,Broker,Under_Construction
1648,Gujarat,Ahmedabad,Locality_68,Independent House,1,2376,199.68,0.08,2019,Semi-furnished,28,15,6,10,6,High,Yes,Yes,"Pool, Garden, Gym, Playground, Clubhouse",East,Owner,Ready_to_Move
1649,Gujarat,Surat,Locality_163,Independent House,4,3230,212.37,0.07,2000,Furnished,1,11,25,8,7,Low,Yes,No,"Gym, Playground, Garden",South,Builder,Under_Construction
1650,Uttarakhand,Dehradun,Locality_180,Apartment,2,2656,329.45,0.12,2000,Furnished,11,9,25,10,5,Low,No,Yes,"Pool, Garden, Playground",North,Owner,Ready_to_Move
1651,Gujarat,Ahmedabad,Locality_298,Villa,3,3815,462.69,0.12,1998,Furnished,3,11,27,8,5,Low,No,Yes,"Gym, Playground, Garden, Pool, Clubhouse",North,Broker,Ready_to_Move
1652,Bihar,Gaya,Locality_54,Apartment,4,3996,225.35,0.06,1990,Furnished,15,20,35,10,9,Medium,No,Yes,"Pool, Garden",North,Broker,Ready_to_Move
1653,Karnataka,Mysore,Locality_485,Apartment,1,3661,182.92,0.05,2000,Unfurnished,23,1,25,7,10,High,No,No,"Playground, Gym, Clubhouse",North,Builder,Ready_to_Move
1654,Telangana,Warangal,Locality_488,Apartment,4,3433,357.46,0.1,2021,Unfurnished,25,11,4,7,3,High,No,No,"Pool, Playground, Gym",North,Builder,Ready_to_Move
1655,Madhya Pradesh,Bhopal,Locality_202,Apartment,5,4253,399.89,0.09,2015,Semi-furnished,26,11,10,1,4,High,Yes,No,"Garden, Playground, Pool, Gym",North,Broker,Ready_to_Move
1656,Rajasthan,Jaipur,Locality_363,Independent House,2,2313,297.42,0.13,1997,Furnished,25,14,28,1,8,Medium,No,Yes,"Garden, Playground, Clubhouse",West,Builder,Ready_to_Move
1657,Bihar,Gaya,Locality_349,Independent House,3,3318,394.56,0.12,2001,Furnished,3,23,24,5,2,High,Yes,Yes,"Gym, Playground, Pool",East,Owner,Under_Construction
1658,Uttarakhand,Dehradun,Locality_150,Apartment,5,785,368.91,0.47,1997,Semi-furnished,24,21,28,6,8,Medium,Yes,Yes,"Garden, Pool, Playground, Gym, Clubhouse",South,Builder,Under_Construction
1659,Kerala,Trivandrum,Locality_419,Independent House,4,1103,385.11,0.35,2008,Semi-furnished,5,27,17,10,10,High,No,Yes,"Playground, Gym, Clubhouse, Pool, Garden",North,Broker,Under_Construction
1660,Bihar,Patna,Locality_454,Villa,1,2144,86.05,0.04,2010,Semi-furnished,17,6,15,6,7,Medium,Yes,Yes,"Clubhouse, Gym, Pool, Garden, Playground",South,Broker,Under_Construction
1661,Rajasthan,Jaipur,Locality_397,Independent House,3,4620,273.0,0.06,1995,Semi-furnished,29,17,30,2,1,Medium,Yes,Yes,Playground,West,Owner,Under_Construction
1662,Chhattisgarh,Bilaspur,Locality_79,Villa,1,3310,321.08,0.1,2007,Semi-furnished,2,8,18,4,4,Medium,Yes,No,"Playground, Gym, Pool",West,Owner,Ready_to_Move
1663,Rajasthan,Jodhpur,Locality_260,Apartment,3,3638,380.2,0.1,2007,Unfurnished,19,12,18,6,9,Medium,Yes,No,"Pool, Clubhouse",East,Builder,Under_Construction
1664,Kerala,Kochi,Locality_9,Independent House,5,3998,406.32,0.1,2022,Semi-furnished,30,17,3,2,10,High,No,No,"Clubhouse, Garden",East,Broker,Under_Construction
1665,Odisha,Bhubaneswar,Locality_175,Apartment,3,2931,96.5,0.03,2003,Furnished,14,6,22,2,9,High,Yes,No,"Garden, Playground",West,Owner,Under_Construction
1666,Uttar Pradesh,Noida,Locality_168,Apartment,4,3962,31.58,0.01,2007,Furnished,25,5,18,3,10,Medium,Yes,Yes,"Pool, Playground, Clubhouse, Garden",East,Builder,Under_Construction
1667,Madhya Pradesh,Indore,Locality_57,Apartment,3,641,378.27,0.59,2003,Semi-furnished,19,23,22,4,10,Medium,Yes,No,"Clubhouse, Pool, Playground",East,Builder,Ready_to_Move
1668,Jharkhand,Jamshedpur,Locality_366,Villa,2,4079,151.66,0.04,2010,Unfurnished,20,8,15,5,2,Medium,Yes,No,"Garden, Gym",South,Broker,Ready_to_Move
1669,Bihar,Patna,Locality_448,Villa,5,2765,430.76,0.16,1993,Furnished,5,26,32,1,5,High,No,No,"Pool, Gym, Playground, Clubhouse",North,Owner,Under_Construction
1670,Bihar,Gaya,Locality_269,Apartment,4,2826,497.75,0.18,2017,Furnished,11,24,8,5,2,Medium,No,No,"Playground, Gym, Pool",North,Owner,Ready_to_Move
1671,Kerala,Trivandrum,Locality_336,Independent House,2,2685,347.34,0.13,1991,Unfurnished,27,3,34,10,4,High,No,Yes,"Pool, Clubhouse",East,Builder,Under_Construction
1672,Andhra Pradesh,Vijayawada,Locality_441,Villa,3,4241,350.88,0.08,2023,Furnished,0,28,2,1,10,High,Yes,Yes,Playground,South,Owner,Ready_to_Move
1673,Assam,Guwahati,Locality_113,Apartment,5,3022,206.26,0.07,2022,Unfurnished,24,25,3,6,10,Low,Yes,Yes,"Garden, Gym, Pool",North,Broker,Under_Construction
1674,Assam,Silchar,Locality_101,Independent House,1,4547,77.66,0.02,2021,Semi-furnished,16,19,4,8,7,High,No,Yes,"Garden, Gym, Clubhouse",North,Builder,Ready_to_Move
1675,Telangana,Warangal,Locality_285,Villa,1,1534,376.02,0.25,2011,Semi-furnished,2,15,14,1,6,Medium,No,No,"Playground, Garden, Gym, Pool, Clubhouse",North,Builder,Under_Construction
1676,Gujarat,Ahmedabad,Locality_433,Villa,2,3470,39.0,0.01,2008,Semi-furnished,25,29,17,5,3,Medium,Yes,Yes,"Pool, Gym, Clubhouse, Garden",West,Broker,Ready_to_Move
1677,Uttar Pradesh,Lucknow,Locality_156,Independent House,3,4285,390.62,0.09,2015,Furnished,10,23,10,3,7,Medium,Yes,No,"Garden, Gym, Playground",East,Broker,Under_Construction
1678,Uttarakhand,Haridwar,Locality_103,Independent House,1,1796,373.86,0.21,2006,Semi-furnished,30,7,19,6,1,Low,Yes,Yes,"Clubhouse, Pool, Gym",North,Broker,Under_Construction
1679,West Bengal,Kolkata,Locality_112,Apartment,1,4447,178.35,0.04,1999,Furnished,14,4,26,8,2,Low,Yes,No,"Playground, Garden",East,Owner,Ready_to_Move
1680,Punjab,Amritsar,Locality_26,Apartment,3,2885,244.91,0.08,2019,Furnished,30,23,6,10,1,Low,No,Yes,"Gym, Playground, Pool, Clubhouse, Garden",North,Broker,Under_Construction
1681,Karnataka,Bangalore,Locality_405,Independent House,5,2047,166.17,0.08,2010,Furnished,2,30,15,6,8,Low,Yes,No,"Gym, Playground",North,Owner,Ready_to_Move
1682,Odisha,Cuttack,Locality_302,Villa,1,4372,207.67,0.05,2012,Unfurnished,21,23,13,10,6,Medium,No,Yes,"Clubhouse, Playground, Garden, Pool, Gym",East,Builder,Ready_to_Move
1683,Madhya Pradesh,Bhopal,Locality_62,Apartment,2,3271,44.78,0.01,2009,Furnished,17,12,16,7,7,High,Yes,Yes,"Clubhouse, Garden, Playground, Pool, Gym",West,Builder,Ready_to_Move
1684,Chhattisgarh,Raipur,Locality_274,Villa,3,3296,114.58,0.03,2002,Unfurnished,26,23,23,9,5,Low,No,No,"Clubhouse, Garden, Playground, Gym, Pool",East,Builder,Under_Construction
1685,Tamil Nadu,Chennai,Locality_135,Independent House,1,1937,329.27,0.17,2020,Furnished,17,2,5,10,5,High,No,Yes,Clubhouse,West,Broker,Ready_to_Move
1686,Assam,Guwahati,Locality_433,Apartment,5,4834,407.61,0.08,2002,Furnished,1,9,23,8,6,Low,No,Yes,"Garden, Clubhouse, Playground, Gym, Pool",East,Builder,Under_Construction
1687,Tamil Nadu,Coimbatore,Locality_53,Villa,2,4143,154.65,0.04,2006,Semi-furnished,0,15,19,6,6,Low,Yes,Yes,Garden,East,Owner,Under_Construction
1688,Kerala,Trivandrum,Locality_378,Independent House,4,1373,152.53,0.11,2006,Unfurnished,28,15,19,6,6,High,No,Yes,"Playground, Gym",West,Broker,Under_Construction
